,시도별,연도,고용률
137,충청북도,2006,58.241666666666674
138,충청남도,2006,63.92499999999999
139,전북특별자치도,2006,57.833333333333336
140,전라남도,2006,63.90833333333333
141,경상북도,2006,63.48333333333333
142,경상남도,2006,60.81666666666666
143,제주도,2006,69.09166666666667
144,전국,2007,60.14166666666667
145,서울특별시,2007,60.800000000000004
146,부산광역시,2007,56.1
147,대구광역시,2007,57.31666666666667
148,인천광역시,2007,59.96666666666667
149,광주광역시,2007,56.675000000000004
150,대전광역시,2007,56.70833333333332
151,울산광역시,2007,59.625
152,세종특별자치시,2007,
153,경기도,2007,60.49166666666667
154,강원특별자치도,2007,57.633333333333326
155,충청북도,2007,58.61666666666667
156,충청남도,2007,64.55
157,전북특별자치도,2007,58.67499999999999
158,전라남도,2007,63.99166666666667
159,경상북도,2007,62.92499999999999
160,경상남도,2007,61.05833333333333
161,제주도,2007,68.20833333333333
162,전국,2008,59.78333333333334
163,서울특별시,2008,60.06666666666666
164,부산광역시,2008,55.30833333333333
165,대구광역시,2008,56.458333333333336
166,인천광역시,2008,59.275
167,광주광역시,2008,56.39166666666667
168,대전광역시,2008,57.175000000000004
169,울산광역시,2008,60.26666666666667
170,세종특별자치시,2008,
171,경기도,2008,60.53333333333334
172,강원특별자치도,2008,57.625
173,충청북도,2008,59.06666666666666
174,충청남도,2008,62.08333333333332
175,전북특별자치도,2008,58.433333333333344
176,전라남도,2008,63.75
177,경상북도,2008,62.65
178,경상남도,2008,61.40833333333334
179,제주도,2008,67.95833333333333
180,전국,2009,58.775
181,서울특별시,2009,58.474999999999994
182,부산광역시,2009,54.20833333333332
183,대구광역시,2009,56.35833333333333
184,인천광역시,2009,59.208333333333336
185,광주광역시,2009,56.399999999999984
186,대전광역시,2009,56.68333333333333
187,울산광역시,2009,58.758333333333326
188,세종특별자치시,2009,
189,경기도,2009,59.150000000000006
190,강원특별자치도,2009,57.525000000000006
191,충청북도,2009,59.10833333333333
192,충청남도,2009,60.23333333333333
193,전북특별자치도,2009,57.85
194,전라남도,2009,64.05833333333334
195,경상북도,2009,62.0
196,경상남도,2009,60.125
197,제주도,2009,67.11666666666666
198,전국,2010,58.849999999999994
199,서울특별시,2010,59.23333333333333
200,부산광역시,2010,54.30833333333333
201,대구광역시,2010,56.99166666666667
202,인천광역시,2010,59.650000000000006
203,광주광역시,2010,56.925000000000004
204,대전광역시,2010,56.44166666666666
205,울산광역시,2010,59.09166666666665
206,세종특별자치시,2010,
207,경기도,2010,59.208333333333336
208,강원특별자치도,2010,55.974999999999994
209,충청북도,2010,59.46666666666667
210,충청남도,2010,60.224999999999994
211,전북특별자치도,2010,56.96666666666667
212,전라남도,2010,62.291666666666664
213,경상북도,2010,62.32500000000001
214,경상남도,2010,59.71666666666667
215,제주도,2010,65.13333333333333
216,전국,2011,59.26666666666667
217,서울특별시,2011,60.04999999999999
218,부산광역시,2011,54.50000000000001
219,대구광역시,2011,56.81666666666667
220,인천광역시,2011,60.65833333333333
221,광주광역시,2011,56.616666666666674
222,대전광역시,2011,56.85833333333333
223,울산광역시,2011,59.79166666666668
224,세종특별자치시,2011,
225,경기도,2011,59.341666666666676
226,강원특별자치도,2011,56.20833333333332
227,충청북도,2011,59.524999999999984
228,충청남도,2011,60.94166666666667
229,전북특별자치도,2011,57.541666666666664
230,전라남도,2011,62.25833333333333
231,경상북도,2011,61.86666666666667
232,경상남도,2011,60.74166666666667
233,제주도,2011,66.02499999999999
234,전국,2012,59.60833333333333
235,서울특별시,2012,59.90833333333333
236,부산광역시,2012,55.88333333333333
237,대구광역시,2012,58.37499999999999
238,인천광역시,2012,61.56666666666667
239,광주광역시,2012,56.38333333333333
240,대전광역시,2012,57.25833333333333
241,울산광역시,2012,59.75833333333333
242,세종특별자치시,2012,
243,경기도,2012,59.79999999999999
244,강원특별자치도,2012,56.88333333333333
245,충청북도,2012,58.85
246,충청남도,2012,61.475
247,전북특별자치도,2012,57.54999999999999
248,전라남도,2012,63.20000000000001
249,경상북도,2012,62.208333333333336
250,경상남도,2012,60.18333333333334
251,제주도,2012,66.675
252,전국,2013,59.80833333333334
253,서울특별시,2013,59.89166666666667
254,부산광역시,2013,56.14166666666667
255,대구광역시,2013,57.925000000000004
256,인천광역시,2013,61.275
257,광주광역시,2013,57.18333333333333
258,대전광역시,2013,57.48333333333333
259,울산광역시,2013,59.041666666666664
260,세종특별자치시,2013,
261,경기도,2013,60.23333333333334
262,강원특별자치도,2013,56.25
263,충청북도,2013,59.949999999999996
264,충청남도,2013,62.64166666666667
265,전북특별자치도,2013,58.57500000000001
266,전라남도,2013,62.625
267,경상북도,2013,62.074999999999996
268,경상남도,2013,60.35
269,제주도,2013,66.425
270,전국,2014,60.50833333333335
271,서울특별시,2014,60.475
272,부산광역시,2014,56.741666666666674
273,대구광역시,2014,58.699999999999996
274,인천광역시,2014,61.291666666666664
275,광주광역시,2014,58.824999999999996
276,대전광역시,2014,59.13333333333333
277,울산광역시,2014,58.26666666666667
278,세종특별자치시,2014,
279,경기도,2014,61.60833333333334
280,강원특별자치도,2014,56.866666666666674
281,충청북도,2014,61.98333333333334
282,충청남도,2014,62.36666666666667
283,전북특별자치도,2014,58.28333333333333
284,전라남도,2014,62.158333333333324
285,경상북도,2014,63.20833333333332
286,경상남도,2014,60.19166666666666
287,제주도,2014,67.25000000000001
288,전국,2015,60.54166666666668
289,서울특별시,2015,59.975
290,부산광역시,2015,56.28333333333334
291,대구광역시,2015,59.45833333333334
