,시도별,연도,1인당 지역총소득
233,제주특별자치도,2012,23138
234,전국,2013,30038
235,서울특별시,2013,39570
236,부산광역시,2013,23500
237,대구광역시,2013,21992
238,인천광역시,2013,25483
239,광주광역시,2013,22992
240,대전광역시,2013,23858
241,울산광역시,2013,48678
242,세종특별자치시,2013,38657
243,경기도,2013,30631
244,강원도,2013,21884
245,충청북도,2013,26094
246,충청남도,2013,32911
247,전북특별자치도,2013,21691
248,전라남도,2013,27940
249,경상북도,2013,29128
250,경상남도,2013,26455
251,제주특별자치도,2013,24020
252,전국,2014,31010
253,서울특별시,2014,40577
254,부산광역시,2014,24980
255,대구광역시,2014,23391
256,인천광역시,2014,26978
257,광주광역시,2014,24674
258,대전광역시,2014,25308
259,울산광역시,2014,46025
260,세종특별자치시,2014,49688
261,경기도,2014,30892
262,강원도,2014,23251
263,충청북도,2014,27125
264,충청남도,2014,32836
265,전북특별자치도,2014,22951
266,전라남도,2014,28657
267,경상북도,2014,30917
268,경상남도,2014,28703
269,제주특별자치도,2014,25400
270,전국,2015,32658
271,서울특별시,2015,41857
272,부산광역시,2015,25773
273,대구광역시,2015,24660
274,인천광역시,2015,28034
275,광주광역시,2015,25687
276,대전광역시,2015,27125
277,울산광역시,2015,49381
278,세종특별자치시,2015,44463
279,경기도,2015,33028
280,강원도,2015,24761
281,충청북도,2015,28839
282,충청남도,2015,35458
283,전북특별자치도,2015,24176
284,전라남도,2015,32733
285,경상북도,2015,32427
286,경상남도,2015,29523
287,제주특별자치도,2015,27314
288,전국,2016,34167
289,서울특별시,2016,44113
290,부산광역시,2016,26886
291,대구광역시,2016,25553
292,인천광역시,2016,29680
293,광주광역시,2016,27371
294,대전광역시,2016,28125
295,울산광역시,2016,52204
296,세종특별자치시,2016,41017
297,경기도,2016,34591
298,강원도,2016,25335
299,충청북도,2016,30531
300,충청남도,2016,37555
301,전북특별자치도,2016,24694
302,전라남도,2016,33789
303,경상북도,2016,33689
304,경상남도,2016,30368
305,제주특별자치도,2016,29344
306,전국,2017,35977
307,서울특별시,2017,46715
308,부산광역시,2017,27592
309,대구광역시,2017,26561
310,인천광역시,2017,30990
311,광주광역시,2017,28759
312,대전광역시,2017,30102
313,울산광역시,2017,52237
314,세종특별자치시,2017,40876
315,경기도,2017,37588
316,강원도,2017,27216
317,충청북도,2017,31951
318,충청남도,2017,39338
319,전북특별자치도,2017,25710
320,전라남도,2017,34542
321,경상북도,2017,33828
322,경상남도,2017,31033
323,제주특별자치도,2017,30863
324,전국,2018,37014
325,서울특별시,2018,48362
326,부산광역시,2018,28287
327,대구광역시,2018,27004
328,인천광역시,2018,31363
329,광주광역시,2018,29759
330,대전광역시,2018,30529
331,울산광역시,2018,52694
332,세종특별자치시,2018,37243
333,경기도,2018,39150
334,강원도,2018,28471
335,충청북도,2018,33672
336,충청남도,2018,39935
337,전북특별자치도,2018,26783
338,전라남도,2018,35159
339,경상북도,2018,34530
340,경상남도,2018,30987
341,제주특별자치도,2018,31193
342,전국,2019,37596
343,서울특별시,2019,48693
344,부산광역시,2019,29259
345,대구광역시,2019,27700
346,인천광역시,2019,32873
347,광주광역시,2019,31186
348,대전광역시,2019,31566
349,울산광역시,2019,54190
350,세종특별자치시,2019,38186
351,경기도,2019,38929
352,강원도,2019,29397
353,충청북도,2019,34889
354,충청남도,2019,41089
355,전북특별자치도,2019,28302
356,전라남도,2019,35673
357,경상북도,2019,35038
358,경상남도,2019,32035
359,제주특별자치도,2019,30710
360,전국,2020,37842
361,서울특별시,2020,49006
362,부산광역시,2020,29643
363,대구광역시,2020,27934
364,인천광역시,2020,32724
365,광주광역시,2020,31674
366,대전광역시,2020,32080
367,울산광역시,2020,53908
368,세종특별자치시,2020,37869
369,경기도,2020,38819
370,강원도,2020,28891
371,충청북도,2020,35403
372,충청남도,2020,42073
373,전북특별자치도,2020,29515
374,전라남도,2020,38605
375,경상북도,2020,35471
376,경상남도,2020,31550
377,제주특별자치도,2020,30030
378,전국,2021,40723
379,서울특별시,2021,54571
380,부산광역시,2021,31414
381,대구광역시,2021,29552
382,인천광역시,2021,35499
383,광주광역시,2021,33182
384,대전광역시,2021,34013
385,울산광역시,2021,57613
386,세종특별자치시,2021,40231
387,경기도,2021,41477
388,강원도,2021,31074
389,충청북도,2021,38323
390,충청남도,2021,45399
391,전북특별자치도,2021,31803
392,전라남도,2021,37741
393,경상북도,2021,38071
394,경상남도,2021,33363
395,제주특별자치도,2021,32580
