"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55189,38657,17607,18251,62944,49688,22944,19014,49474,44463,21957,17591,42572,41017,21000,17040,40043,40876,21404,17141,36570,37243,20990,16921,35802,38186,20674,16845,36473,37869,21407,16158,38157,40231,22162,17301,37875,41372,23215,18571
"경기도",2707,3105,3545,4237,4790,5653,6660,7286,8003,9085,10154,5017,10657,5589,10940,6085,10621,5667,12150,6509,13374,14940,9142,7537,14361,14948,9422,8324,15430,16720,10122,9316,16165,17493,10608,9418,17278,19172,11299,9735,18082,19343,11622,10403,18944,20593,12196,11104,20008,21415,12740,11882,20863,22099,13581,12469,21731,22937,13760,12787,23972,26528,14455,13573,24763,26697,15041,14283,26007,28906,15647,14746,27492,30631,16399,15038,28638,30892,16969,15398,30748,33028,18069,15756,32336,34591,18611,16194,35307,37588,19375,16777,36821,39150,19907,17275,36064,38929,20746,17493,36521,38819,21220,16721,38879,41477,21869,17747,39969,43635,23136,19307
"강원도",2168,2508,2910,3315,3762,4577,5208,5771,6286,7327,8633,4688,10017,5304,10857,5817,10590,5445,11180,6328,11737,10791,7442,7289,12437,11725,7850,7799,13501,12592,8491,8549,14935,13433,8960,8615,15806,14058,9589,8799,16379,15049,10036,9347,17498,16156,10530,9905,18832,17280,10863,10519,19593,17844,11683,11061,20345,18906,12330,11349,21312,19315,12844,12045,22088,20213,13124,12683,22973,21169,13712,13111,24094,21884,14394,13450,25676,23251,15152,13928,26946,24761,16311,14437,28328,25335,16798,14952,29925,27216,17484,15780,30856,28471,18450,16565,32192,29397,19174,16905,32026,28891,20267,16193,33679,31074,20918,17078,34426,33198,22395,18457
"충청북도",2231,2358,2637,3133,3661,4474,5465,6289,7293,8786,10513,4547,11732,5140,12097,5601,11757,5382,13149,6122,13791,11766,7694,7070,14391,13063,8192,7613,15581,13487,8658,8304,16647,14361,9030,8406,18860,16103,9758,8607,18923,16231,10403,9086,20474,17396,10840,9606,21923,18391,11247,10136,22378,19290,11983,10782,23467,20826,12615,11071,26455,22351,13246,11926,28050,23504,13422,12522,29177,24875,14111,13001,30507,26094,14707,13364,31729,27125,15558,13693,34728,28839,16531,14059,37273,30531,16915,14506,40590,31951,17465,15088,43016,33672,18440,15583,42704,34889,18989,15885,42667,35403,20029,15215,46123,38323,21019,16082,48616,40673,22533,17536
"충청남도",1946,2267,2522,3037,3268,3802,4729,5810,6939,8699,10405,4592,11908,5314,13743,5857,13754,5495,15599,6266,17362,13203,8035,7153,18490,14139,8349,7952,20656,15557,8929,8690,23280,17564,9454,8915,25934,19695,10075,9232,27417,20372,10417,9879,28760,21450,10994,10310,30667,22905,11365,10771,32648,24028,12006,11155,36024,26683,12660,11343,40962,28765,13326,12183,43752,30628,13376,12781,44071,31057,13948,13198,45550,32911,14892,13587,46360,32836,15509,13963,48173,35458,16703,14243,50264,37555,16952,14527,53663,39338,17788,15428,53006,39935,18458,15872,51874,41089,19216,16123,53078,42073,20393,15426,57622,45399,21169,16330,58937,48015,22481,17878
"전라북도",1557,1812,2022,2422,2704,3237,3969,4714,5390,6826,7771,4644,8883,5246,9738,5807,9277,5449,10019,6228,10802,10609,7684,7086,11593,11439,8189,7705,12520,11951,8517,8416,13230,12760,9242,8520,14454,13523,9844,8655,14920,14401,10448,9092,15965,15344,10922,9608,17195,16168,11387,10091,18355,17346,12060,10567,19926,18578,12649,10786,21016,19226,13197,11580,22136,20200,13653,12235,22670,21037,13915,12789,23876,21691,14628,13119,24681,22951,15548,13591,25621,24176,16239,14041,26089,24694,16499,14403,26988,25710,17059,14957,27797,26783,18141,15723,28835,28302,18941,16103,29252,29515,19991,15351,31187,31803,20745,16122,32464,34299,22262,17614
"전라남도",1750,1992,2362,2963,3286,4013,5095,6228,7270,8201,10594,4807,11871,5512,13738,6095,14068,5545,14466,6382,15446,13171,7714,7254,16702,14088,8142,7551,18408,15473,8716,8145,20345,16577,9219,8287,23508,18415,10036,8427,23953,19110,10644,8881,24303,20080,11110,9364,27407,21970,11424,10043,30160,22745,12013,10490,29695,24109,12643,10907,34768,26168,13161,11659,35553,26437,13374,12357,36201,27208,13982,12864,37264,27940,14575,13131,36953,28657,15039,13447,38339,32733,16067,13995,39824,33789,16528,14404,41076,34542,17043,14960,42131,35159,18207,15601,43402,35673,19072,16199,43957,38605,19873,15441,49572,37741,20779,16206,51422,34098,22298,17919
"경상북도",2365,2841,3397,4276,4582,5238,6233,6831,7509,9206,10585,4976,11511,5697,13472,6181,13208,5805,14584,6652,16485,13527,8116,7470,17270,14067,8611,7979,18942,15272,9207,8698,21006,17019,9593,8707,23928,19585,10315,8800,25286,21513,10946,9257,25983,21536,11202,9754,27165,22157,11391,10277,28945,25656,12156,10846,30021,25287,12657,11179,33341,26953,13342,11963,34408,29076,13631,12573,35014,27871,14283,12970,36533,29128,15052,13302,38742,30917,15738,13686,38510,32427,16550,14068,40040,33689,16894,14583,41130,33828,17428,15332,40677,34530,18185,15852,40082,35038,18748,16311,39887,35471,19798,15473,42896,38071,20522,16472,43886,38391,21981,17841
"경상남도",2867,3320,3777,4546,5009,6110,7203,8583,9316,11129,12989,4803,13986,5385,15760,5975,12606,5574,13450,6323,14629,12784,8217,7138,16049,13991,8743,7704,17504,14997,9291,8565,18480,15989,9912,8671,19900,17087,10636,8913,21032,18193,11101,9525,22087,19258,11611,10112,24063,20968,11967,10699,26038,23121,12970,11343,26942,23429,13316,11556,28026,24250,13933,12357,29072,25747,14423,13113,30124,26321,14931,13534,30416,26455,15646,14022,30555,28703,16272,14384,32007,29523,17411,14768,32758,30368,17744,15180,32789,31033,18011,15687,32993,30987,18466,16068,34040,32035,19078,16520,33186,31550,19759,15890,34046,33363,20535,16945,36501,35540,21887,18766
"제주특별자치도",1669,1855,2251,2670,3281,3847,4833,5320,5842,7121,8598,4827,9104,5525,9831,6046,9519,5681,10283,6483,10971,11154,8259,7286,11546,12163,8729,7973,12886,12969,9314,8965,13839,13580,9679,9194,15098,14859,10082,9148,15599,14762,10552,9944,16001,15659,11125,10408,17139,16350,11544,10989,17655,17358,12411,11606,19421,18437,12809,11863,20366,19613,13259,12613,22041,22372,13888,13236,23525,23138,14383,14186,24491,24020,14829,14416,25968,25400,15329,14904,28280,27314,16685,15406,30284,29344,17366,15711,31470,30863,17816,16191,30721,31193,18456,16640,30792,30710,18815,17037,29334,30030,19954,16227,29988,32580,20360,17252,31150,33525,21508,19125
